Primary Type,Values
THEFT,477614
BATTERY,447077
CRIMINAL DAMAGE,274514
NARCOTICS,269938
OTHER OFFENSE,150963
ASSAULT,148298
BURGLARY,126857
MOTOR VEHICLE THEFT,120720
ROBBERY,86320
CRIMINAL TRESPASS,74495
DECEPTIVE PRACTICE,68896
PROSTITUTION,32248
WEAPONS VIOLATION,21169
OFFENSE INVOLVING CHILDREN,13826
PUBLIC PEACE VIOLATION,12862
SEX OFFENSE,10084
CRIM SEXUAL ASSAULT,8354
LIQUOR LAW VIOLATION,6352
GAMBLING,5193
ARSON,4466
KIDNAPPING,3337
HOMICIDE,2835
INTERFERENCE WITH PUBLIC OFFICER,2321
INTIMIDATION,1587
STALKING,1057
OBSCENITY,93
PUBLIC INDECENCY,36
OTHER NARCOTIC VIOLATION,31
RITUALISM,15
DOMESTIC VIOLENCE,1
NON-CRIMINAL,1
