Description,Values
SIMPLE,340956
$500 AND UNDER,210085
DOMESTIC BATTERY SIMPLE,138003
TO VEHICLE,135682
TO PROPERTY,129483
OVER $500,119507
FORCIBLE ENTRY,89961
AUTOMOBILE,89535
POSS: CANNABIS 30GMS OR LESS,85328
FROM BUILDING,63074
POSS: CRACK,62396
TELEPHONE THREAT,51029
TO LAND,46298
RETAIL THEFT,42807
HARASSMENT BY TELEPHONE,42614
AGGRAVATED: OTHER DANG WEAPON,40511
POSS: HEROIN(WHITE),34451
UNLAWFUL ENTRY,30070
ARMED: HANDGUN,29725
AGGRAVATED: HANDGUN,29183
STRONGARM - NO WEAPON,29078
AGGRAVATED:KNIFE/CUTTING INSTR,22574
SOLICIT ON PUBLIC WAY,22532
TO STATE SUP LAND,18413
FINANCIAL ID THEFT: OVER $300,17330
OTHER VEHICLE OFFENSE,16475
ATTEMPT POSSESSION NARCOTICS,14912
SOLICIT NARCOTICS ON PUBLICWAY,13047
UNLAWFUL POSS OF HANDGUN,13027
CREDIT CARD FRAUD,12664
VIOLATE ORDER OF PROTECTION,12118
MANU/DELIVER:CRACK,12080
"TRUCK, BUS, MOTOR HOME",11323
THEFT/RECOVERY: AUTOMOBILE,11305
THEFT OF LABOR/SERVICES,11000
FRAUD OR CONFIDENCE GAME,10648
POSS: COCAINE,8723
SOLICIT FOR BUSINESS,7701
FORGERY,7592
MANU/DELIVER: HEROIN (WHITE),7234
POCKET-PICKING,7109
PRO EMP HANDS NO/MIN INJURY,6942
BOGUS CHECK,6759
OTHER CRIME INVOLVING PROPERTY,6678
FALSE/STOLEN/ALTERED TRP,6593
FINANCIAL ID THEFT:$300 &UNDER,6356
TO RESIDENCE,6002
CRIMINAL DEFACEMENT,5836
POSS: CANNABIS MORE THAN 30GMS,5803
ATTEMPT FORCIBLE ENTRY,5587
ATT: AUTOMOBILE,5058
PURSE-SNATCHING,5052
ARMED: OTHER DANGEROUS WEAPON,4810
ILLEGAL USE CASH CARD,4756
AGGRAVATED,4647
RECKLESS CONDUCT,4635
ARMED:KNIFE/CUTTING INSTRUMENT,4609
FOUND SUSPECT NARCOTICS,4509
AGGRAVATED VEHICULAR HIJACKING,4383
AGG PO HANDS NO/MIN INJURY,4182
NON-AGGRAVATED,4120
CHILD ABUSE,4117
ATTEMPT THEFT,3926
UNLAWFUL USE OTHER DANG WEAPON,3842
MANU/DEL:CANNABIS OVER 10 GMS,3821
GAME/DICE,3778
TO CITY OF CHICAGO PROPERTY,3762
BOMB THREAT,3749
ATTEMPT: STRONGARM-NO WEAPON,3398
CRIMINAL SEXUAL ABUSE,3393
PUBLIC INDECENCY,3381
THEFT OF LOST/MISLAID PROP,3378
COUNTERFEITING DOCUMENT,3285
ATTEMPT POSSESSION CANNABIS,3092
MANU/DEL:CANNABIS 10GM OR LESS,3004
AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,2997
ATTEMPT: ARMED-HANDGUN,2867
TO STATE SUP PROP,2832
FIRST DEGREE MURDER,2828
ILLEGAL CONSUMPTION BY MINOR,2771
BY FIRE,2759
OTHER CRIME AGAINST PERSON,2518
OBSCENE TELEPHONE CALLS,2384
ENDANGERING LIFE/HEALTH CHILD,2328
AGG: HANDS/FIST/FEET NO/MINOR INJURY,2287
AGG CRIMINAL SEXUAL ABUSE,2276
POSSESSION OF DRUG EQUIPMENT,2256
ARSON THREAT,2227
AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,2166
"THEFT BY LESSEE,MOTOR VEH",1883
COUNTERFEIT CHECK,1833
VEHICULAR HIJACKING,1809
VEHICLE TITLE/REG OFFENSE,1750
AGGRAVATED: OTHER FIREARM,1743
CHILD ABDUCTION,1738
SEX OFFENDER: FAIL REG NEW ADD,1714
"THEFT/RECOVERY: TRUCK,BUS,MHOME",1562
OTHER OFFENSE,1553
AGGRAVATED: OTHER,1544
AGGRAVATED DOMESTIC BATTERY,1544
SELL/GIVE/DEL LIQUOR TO MINOR,1490
INTIMIDATION,1481
STOLEN PROP: BUY/RECEIVE/POS.,1459
FORFEIT PROPERTY,1435
LICENSE VIOLATION,1378
UNLAWFUL INTERFERE/VISITATION,1365
"CYCLE, SCOOTER, BIKE W-VIN",1350
SEX OFFENDER: FAIL TO REGISTER,1248
HOME INVASION,1239
AGG SEX ASSLT OF CHILD FAM MBR,1231
LIQUOR LICENSE VIOLATION,1203
UNLAWFUL USE/SALE AIR RIFLE,1185
RESIST/OBSTRUCT/DISARM OFFICER,1182
ANIMAL ABUSE/NEGLECT,1174
POSS: PCP,1152
POSS: HEROIN(BRN/TAN),1065
HARASSMENT BY ELECTRONIC MEANS,1046
AGG: FINANCIAL ID THEFT,1036
UNLAWFUL POSS OTHER FIREARM,1000
SALE/DEL HYPODERMIC NEEDLE,952
CHILD ABDUCTION/STRANGER,944
MANU/DELIVER:COCAINE,892
AGG CRIM SEX ABUSE FAM MEMBER,891
ILLEGAL POSSESSION BY MINOR,858
AGGRAVATED PO: OTHER DANG WEAP,849
FALSE POLICE REPORT,810
ATTEMPT: ARMED-OTHER DANG WEAP,791
PREDATORY,790
ALTER/FORGE PRESCRIPTION,782
ATTEMPT: ARMED-KNIFE/CUT INSTR,776
ATTEMPT ARSON,776
UNLAWFUL USE HANDGUN,760
AGG PRO.EMP: OTHER DANG WEAPON,744
OTHER WEAPONS VIOLATION,735
CALL OPERATION,699
FINAN EXPLOIT-ELDERLY/DISABLED,651
CRIM SEX ABUSE BY FAM MEMBER,635
POS: HYPODERMIC NEEDLE,599
SEX ASSLT OF CHILD BY FAM MBR,568
PATRONIZING A PROSTITUTE,558
EMBEZZLEMENT,540
POSS FIREARM/AMMO:NO FOID CARD,527
ATTEMPT FINANCIAL IDENTITY THEFT,526
AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,519
GAME/AMUSEMENT DEVICE,508
"ATT: TRUCK, BUS, MOTOR HOME",500
POSS: HALLUCINOGENS,487
UNLAWFUL RESTRAINT,470
FALSE FIRE ALARM,445
AGGRAVATED PO: HANDGUN,441
FROM COIN-OP MACHINE/DEVICE,435
ATTEMPT NON-AGGRAVATED,427
IMPERSONATION,424
INTERFERENCE JUDICIAL PROCESS,424
ARMED: OTHER FIREARM,418
PEEPING TOM,408
AGGRAVATED: KNIFE/CUT INSTR,407
OTHER,382
ATT CRIM SEXUAL ABUSE,376
COMPUTER FRAUD,365
OBSTRUCTING JUSTICE,364
UNLAWFUL USE OF RECORDED SOUND,362
POSS: SYNTHETIC DRUGS,358
DELIVERY CONTAINER THEFT,357
MOB ACTION,356
AGGRAVATED OF A SENIOR CITIZEN,331
SOLICIT FOR PROSTITUTE,319
KIDNAPPING,314
UNLAWFUL POSS AMMUNITION,305
POSSESSION OF BURGLARY TOOLS,286
VIO BAIL BOND: DOM VIOLENCE,276
PROBATION VIOLATION,257
CONTRIBUTE DELINQUENCY OF A CHILD,256
ILLEGAL POSSESSION CASH CARD,255
TO AIRPORT,254
"THEFT BY LESSEE,NON-VEH",247
CHILD ABANDONMENT,245
INSTITUTIONAL VANDALISM,245
INDECENT SOLICITATION/CHILD,238
ILLEGAL ILL LOTTERY,225
AGG: HANDS/FIST/FEET SERIOUS INJURY,223
FINANCIAL IDENTITY THEFT OVER $ 300,218
MANU/DELIVER: HEROIN(BRN/TAN),211
POSS: AMPHETAMINES,207
OTHER VIOLATION,202
ANIMAL FIGHTING,195
GAME/CARDS,188
TO FIRE FIGHT.APP.EQUIP,182
SEXUAL EXPLOITATION OF A CHILD,175
POSS: BARBITUATES,168
POSS: HEROIN(BLACK TAR),166
OTHER PROSTITUTION OFFENSE,165
