Description,Values
SIMPLE,155691
$500 AND UNDER,139969
DOMESTIC BATTERY SIMPLE,134641
POSS: CANNABIS 30GMS OR LESS,76628
TO VEHICLE,76444
OVER $500,74950
TO PROPERTY,74000
FORCIBLE ENTRY,62148
AUTOMOBILE,57191
FROM BUILDING,52004
RETAIL THEFT,43004
UNLAWFUL ENTRY,27059
TELEPHONE THREAT,25805
TO LAND,25082
POSS: HEROIN(WHITE),24037
STRONGARM - NO WEAPON,21946
ARMED: HANDGUN,20972
AGGRAVATED: HANDGUN,18500
HARASSMENT BY TELEPHONE,18048
AGGRAVATED: OTHER DANG WEAPON,16131
CREDIT CARD FRAUD,14704
POSS: CRACK,14603
UNLAWFUL POSS OF HANDGUN,12139
AGGRAVATED:KNIFE/CUTTING INSTR,11662
RECKLESS CONDUCT,11059
FINANCIAL IDENTITY THEFT OVER $ 300,10460
POCKET-PICKING,9914
HARASSMENT BY ELECTRONIC MEANS,9910
ILLEGAL USE CASH CARD,9876
FINANCIAL ID THEFT: OVER $300,9507
THEFT OF LABOR/SERVICES,8835
CRIMINAL DEFACEMENT,8509
MANU/DELIVER: HEROIN (WHITE),7939
VIOLATE ORDER OF PROTECTION,7548
PRO EMP HANDS NO/MIN INJURY,7483
FRAUD OR CONFIDENCE GAME,7069
TO RESIDENCE,6431
AGG PO HANDS NO/MIN INJURY,6357
OTHER VEHICLE OFFENSE,5911
SOLICIT ON PUBLIC WAY,5751
POSS: COCAINE,5118
POSS: CANNABIS MORE THAN 30GMS,5055
AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,5051
TO STATE SUP LAND,4609
ATTEMPT FORCIBLE ENTRY,4592
PURSE-SNATCHING,4124
NON-AGGRAVATED,4017
FOUND SUSPECT NARCOTICS,4008
AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,3757
PAROLE VIOLATION,3666
MANU/DEL:CANNABIS 10GM OR LESS,3661
AGGRAVATED,3607
THEFT/RECOVERY: AUTOMOBILE,3602
CHILD ABUSE,3451
FALSE/STOLEN/ALTERED TRP,3381
"TRUCK, BUS, MOTOR HOME",3328
OBSTRUCTING IDENTIFICATION,3316
